id;class;holiday;weekends;time
318;1;0;1;6
319;0;0;1;5
320;0;0;1;5
321;0;0;1;4
322;0;0;1;3
323;0;0;1;3
324;0;0;1;7
325;1;0;1;6
326;0;0;1;6
327;0;0;1;5
328;0;0;1;5
329;0;0;1;5
330;0;0;1;4
331;0;0;1;3
332;0;0;1;3
333;0;0;1;7
334;1;0;1;6
335;0;0;1;6
336;0;0;1;5
337;0;0;1;5
338;0;0;1;4
339;0;0;1;4
340;0;0;1;3
341;0;0;1;7
342;0;0;1;6
343;0;0;1;6
344;0;0;1;5
345;0;0;1;5
346;0;0;1;4
347;1;0;1;3
348;0;0;1;3
349;0;0;1;7
350;0;0;1;6
351;0;0;1;5
352;0;0;1;5
353;0;0;1;4
354;0;0;1;4
355;0;0;1;3
356;0;0;0;7
357;1;0;0;6
358;0;0;0;6
359;0;0;0;5
360;0;0;0;4
361;0;0;0;3
362;0;0;0;7
363;0;0;0;6
364;0;0;0;6
365;0;0;0;5
366;0;0;0;4
367;0;0;0;4
368;1;0;0;3
369;0;1;1;7
370;0;1;1;6
371;0;1;1;5
372;0;1;1;5
373;0;1;1;4
374;1;1;1;3
375;0;0;1;7
376;0;0;1;6
377;0;0;1;6
378;0;0;1;5
379;0;0;1;5
380;0;0;1;4
381;0;0;1;4
382;0;0;1;3
383;0;0;1;7
384;0;0;1;6
385;0;0;1;6
386;0;0;1;5
387;1;0;1;5
388;0;0;1;4
389;0;0;1;4
390;0;0;1;3
391;0;0;1;7
392;0;0;1;6
393;0;0;1;6
394;0;0;1;5
395;0;0;1;5
396;0;0;1;4
397;0;0;1;3
398;0;0;1;7
399;0;0;1;6
400;0;0;1;6
401;0;0;1;5
402;0;0;1;5
403;1;0;1;4
404;0;0;1;3
405;0;0;0;7
406;0;0;0;6
407;0;0;0;5
408;0;0;0;5
409;0;0;0;4
410;0;0;0;3
411;0;0;0;7
412;0;0;0;6
413;0;0;0;5
414;0;0;0;5
415;0;0;0;4
416;0;0;0;3
417;0;0;1;7
418;0;0;1;6
419;0;0;1;6
420;0;0;1;5
421;0;0;1;5
422;0;0;1;4
423;0;0;1;3
424;0;0;1;7
425;0;0;1;6
426;0;0;1;6
427;0;0;1;5
428;0;0;1;4
429;0;0;1;4
430;0;0;1;4
431;0;0;1;3
432;0;0;1;7
433;0;0;1;6
434;0;0;1;6
435;0;0;1;5
436;0;0;1;5
437;0;0;1;4
438;0;0;1;3
439;0;0;1;7
440;0;0;1;6
441;0;0;1;5
442;0;0;1;5
443;0;0;1;4
444;0;0;1;3
445;0;0;1;7
446;0;0;1;6
447;1;0;1;6
448;0;0;1;5
449;0;0;1;4
450;0;0;1;3
451;0;0;0;7
452;0;0;0;6
453;1;0;0;5
454;0;0;0;4
455;0;1;0;7
456;0;1;0;6
457;0;1;0;5
458;0;1;0;4
459;0;1;0;3
460;0;0;1;7
461;0;0;1;6
462;0;0;1;6
463;1;0;1;5
464;0;0;1;4
465;0;0;1;3
466;0;0;1;7
467;0;0;1;6
468;0;0;1;6
469;0;0;1;5
470;0;0;1;4
471;0;0;1;3
472;0;0;1;7
473;0;0;1;6
474;1;0;1;6
475;0;0;1;6
476;0;0;1;5
477;0;0;1;5
478;0;0;1;4
479;0;0;1;7
480;0;0;1;6
481;0;0;1;5
482;0;0;1;4
483;0;0;1;3
484;0;0;1;7
485;0;0;1;6
486;0;0;1;5
487;0;0;1;3
488;0;0;0;7
489;0;0;0;6
490;0;0;0;5
491;0;0;0;4
492;0;0;0;7
493;0;0;0;6
494;0;0;0;5
495;0;0;0;4
496;0;0;1;7
497;0;0;1;6
498;0;0;1;6
499;0;0;1;5
500;0;0;1;5
501;0;0;1;4
502;1;0;1;3
503;0;0;1;7
504;0;0;1;7
505;0;0;1;6
506;0;0;1;6
507;0;0;1;5
508;0;0;1;5
509;0;0;1;4
510;0;0;1;4
511;0;0;1;7
512;0;0;1;7
513;0;0;1;6
514;0;0;1;5
515;1;0;1;4
516;0;0;1;4
517;0;0;1;7
518;0;0;1;6
519;0;0;1;6
520;0;0;1;5
521;0;0;1;4
522;0;0;1;4
523;0;0;1;7
524;0;0;1;6
525;0;0;1;6
526;0;0;1;5
527;0;0;1;4
528;0;0;1;4
529;0;0;1;3
530;1;0;0;7
531;0;0;0;6
532;0;0;0;6
533;1;0;0;5
534;0;0;0;4
535;0;0;0;7
536;0;0;0;6
537;0;0;0;6
538;0;0;0;4
539;0;0;0;3
540;0;0;1;7
541;0;0;1;6
542;1;0;1;6
543;0;0;1;5
544;0;0;1;5
545;0;0;1;4
546;0;0;1;3
547;0;0;1;7
548;0;0;1;6
549;1;0;1;5
550;0;0;1;5
551;0;0;1;4
552;0;0;1;3
553;0;0;1;7
554;0;0;1;6
555;0;0;1;5
556;0;0;1;5
557;0;0;1;4
558;0;0;1;3
559;0;0;1;7
560;0;0;1;6
561;1;0;1;5
562;0;0;1;4
563;0;0;1;3
564;0;0;1;3
565;0;0;1;7
566;0;0;1;6
567;0;0;1;5
568;0;0;1;5
569;0;0;1;4
570;0;0;1;3
571;0;0;0;6
572;1;0;0;5
573;0;0;0;4
574;0;0;0;7
575;0;0;0;6
576;0;0;0;6
577;0;0;0;5
578;0;0;0;4
579;0;0;1;7
580;1;0;1;6
581;0;0;1;6
582;0;0;1;5
583;0;0;1;5
584;0;0;1;4
585;0;0;1;3
586;0;0;1;3
587;0;0;1;7
588;0;0;1;6
589;0;0;1;6
590;0;0;1;5
591;0;0;1;4
592;0;0;1;4
593;1;0;1;3
594;0;0;1;7
595;0;0;1;6
596;0;0;1;5
597;0;0;1;5
598;1;0;1;4
599;0;0;1;4
600;0;0;1;3
601;0;0;1;7
602;0;0;1;6
